Data,Valoare_EUR
2024-08-20,4.9769
2024-08-21,4.9772
2024-08-22,4.9765
2024-08-23,4.9767
2024-08-26,4.9753
2024-08-27,4.9765
2024-08-28,4.9771
2024-08-29,4.9772
2024-08-30,4.9769
2024-09-02,4.9755
2024-09-03,4.9738
2024-09-04,4.9729
2024-09-05,4.9711
2024-09-06,4.9728
2024-09-09,4.9741
2024-09-10,4.9742
2024-09-11,4.974
2024-09-12,4.9742
2024-09-13,4.9737
2024-09-16,4.9743
2024-09-17,4.9738
2024-09-18,4.9746
2024-09-19,4.9744
2024-09-20,4.9745
2024-09-23,4.9741
2024-09-24,4.9757
2024-09-25,4.9758
2024-09-26,4.9759
2024-09-27,4.976
2024-09-30,4.9756
2024-10-01,4.9758
2024-10-02,4.9764
2024-10-03,4.9763
2024-10-04,4.9766
2024-10-07,4.977
2024-10-08,4.9771
2024-10-09,4.9763
2024-10-10,4.9759
2024-10-11,4.9752
2024-10-14,4.9744
2024-10-15,4.9755
2024-10-16,4.9758
2024-10-17,4.972
2024-10-18,4.9724
2024-10-21,4.9722
2024-10-22,4.9731
2024-10-23,4.9735
2024-10-24,4.9733
